Annual kilometers,State,Business Use,Financing,Gender,Date of Birth,Year,Make Model,Parking Location,Name,Age,Number of Claims,Payment Frequency,Hire Car,Sum Insured Value Type,Sum Insured Amount,Liability Premium
0-5000 kms,New South Wales,Private,No,Male,1968-06-05,2003,Ford Focus,Driveway,Name_899,53,3,Annual,Yes,Market Value,20421,657.0
0-5000 kms,Western Australia,Private,Yes,Female,1953-05-18,2000,Ford Focus,Driveway,Name_946,71,4,Annual,Yes,Market Value,32870,372.0
> 20000 kms,"ACT, Tasmania and NT*",Rideshare,Yes,Female,2002-01-21,2005,Toyota Corolla,Street,Name_941,23,0,Monthly,Yes,Agreed Value,19842,1851.0
5001-10000 kms,New South Wales,Private,No,Male,1948-03-29,2014,Dodge Ram,Carport,Name_276,75,3,Annual,No,Market Value,98012,655.0
0-5000 kms,"ACT, Tasmania and NT*",Business,No,Male,1985-08-11,2005,Honda Civic,Garage,Name_933,37,2,Annual,No,Market Value,42798,828.0
15001-20000 kms,Victoria,Business,Yes,Male,1990-11-23,2006,Dodge Ram,Garage,Name_234,31,1,Annual,Yes,Market Value,74480,1656.0
0-5000 kms,Western Australia,Private,No,Female,1998-08-27,2010,Ford Focus,Carport,Name_400,27,1,Monthly,Yes,Agreed Value,14897,584.0
5001-10000 kms,"ACT, Tasmania and NT*",Business,Yes,Male,1979-07-22,2020,Dodge Ram,Carport,Name_719,44,3,Annual,Yes,Market Value,54638,1045.0
15001-20000 kms,Victoria,Business,No,Female,1987-01-19,2002,Dodge Ram,Driveway,Name_726,38,1,Annual,Yes,Market Value,63379,1467.0
0-5000 kms,"ACT, Tasmania and NT*",Business,No,Female,1992-10-02,2013,Ford Focus,Garage,Name_127,34,2,Monthly,Yes,Agreed Value,73009,864.0
> 20000 kms,New South Wales,Rideshare,No,Male,1996-05-27,2000,Toyota Corolla,Carport,Name_116,27,0,Monthly,Yes,Agreed Value,97462,1975.0
0-5000 kms,New South Wales,Rideshare,No,Male,1966-06-06,2011,Honda Civic,Garage,Name_277,57,0,Annual,No,Agreed Value,21065,788.0
15001-20000 kms,South Australia,Business,No,Male,1988-07-29,2010,Honda Civic,Garage,Name_884,33,2,Monthly,No,Agreed Value,34995,1597.0
0-5000 kms,Victoria,Rideshare,No,Male,1969-10-17,2025,Toyota Corolla,Carport,Name_495,56,5,Annual,Yes,Agreed Value,78528,754.0
10001-15000 kms,New South Wales,Private,No,Female,1986-11-22,2021,Ford Focus,Street,Name_786,35,4,Annual,No,Agreed Value,69838,1093.0
5001-10000 kms,Western Australia,Rideshare,Yes,Male,1959-01-24,2002,Dodge Ram,Driveway,Name_281,65,0,Monthly,No,Market Value,47572,580.0
0-5000 kms,Western Australia,Rideshare,No,Female,1999-08-06,2023,Ford Focus,Street,Name_641,26,2,Monthly,Yes,Market Value,87891,701.0
15001-20000 kms,South Australia,Rideshare,No,Female,1956-10-09,2024,Ford Focus,Garage,Name_994,69,2,Monthly,No,Agreed Value,53043,909.0
0-5000 kms,Western Australia,Rideshare,Yes,Male,1951-05-17,2015,Honda Civic,Garage,Name_452,73,5,Annual,Yes,Market Value,83137,464.0
15001-20000 kms,Queensland,Rideshare,No,Male,1987-01-02,2001,Ford Focus,Garage,Name_587,37,1,Monthly,No,Market Value,10675,1137.0
10001-15000 kms,Western Australia,Private,Yes,Male,1987-05-03,2008,Toyota Corolla,Street,Name_471,35,4,Monthly,Yes,Market Value,14535,839.0
5001-10000 kms,Victoria,Rideshare,No,Female,1997-05-12,2003,Honda Civic,Street,Name_781,25,2,Annual,Yes,Agreed Value,92332,975.0
5001-10000 kms,New South Wales,Private,Yes,Male,1976-12-02,2018,Dodge Ram,Street,Name_611,48,2,Annual,No,Market Value,28531,956.0
15001-20000 kms,Victoria,Private,No,Female,1940-01-25,2014,Ford Focus,Driveway,Name_708,86,5,Monthly,Yes,Market Value,34403,724.0
10001-15000 kms,"ACT, Tasmania and NT*",Private,Yes,Female,1956-02-13,2010,Dodge Ram,Carport,Name_158,69,3,Annual,Yes,Market Value,70005,589.0
5001-10000 kms,Victoria,Private,No,Female,1956-09-09,2014,Toyota Corolla,Street,Name_271,68,5,Annual,Yes,Market Value,51577,517.0
10001-15000 kms,New South Wales,Business,Yes,Male,1966-09-10,2007,Honda Civic,Street,Name_322,58,3,Monthly,No,Agreed Value,99857,1380.0
0-5000 kms,Western Australia,Business,No,Male,1993-02-19,2008,Dodge Ram,Street,Name_446,32,5,Annual,No,Market Value,61995,850.0
> 20000 kms,South Australia,Private,No,Female,1970-01-27,2005,Honda Civic,Carport,Name_372,52,1,Annual,No,Agreed Value,33773,1265.0
10001-15000 kms,New South Wales,Rideshare,No,Male,1940-12-25,2015,Toyota Corolla,Carport,Name_374,82,1,Annual,Yes,Market Value,78050,943.0
10001-15000 kms,Western Australia,Rideshare,No,Female,1990-08-10,2002,Ford Focus,Carport,Name_336,34,5,Annual,No,Agreed Value,90434,1051.0
0-5000 kms,Victoria,Business,Yes,Male,1943-09-15,2014,Toyota Corolla,Driveway,Name_312,80,5,Annual,No,Market Value,70579,603.0
0-5000 kms,Western Australia,Business,Yes,Female,2000-11-01,2005,Dodge Ram,Carport,Name_135,21,1,Annual,Yes,Agreed Value,48962,1022.0
0-5000 kms,Queensland,Rideshare,Yes,Female,1954-10-12,2018,Ford Focus,Carport,Name_880,71,0,Monthly,Yes,Market Value,27669,432.0
5001-10000 kms,New South Wales,Business,Yes,Male,1996-05-29,2012,Toyota Corolla,Carport,Name_379,27,0,Annual,No,Market Value,48382,1440.0
10001-15000 kms,South Australia,Rideshare,Yes,Female,1943-12-13,2025,Ford Focus,Driveway,Name_726,79,1,Annual,Yes,Agreed Value,27160,780.0
15001-20000 kms,"ACT, Tasmania and NT*",Private,Yes,Male,2005-03-20,2015,Dodge Ram,Street,Name_927,21,1,Monthly,Yes,Agreed Value,87075,1404.0
5001-10000 kms,South Australia,Private,Yes,Female,1941-01-17,2014,Toyota Corolla,Street,Name_46,85,4,Monthly,No,Market Value,10255,541.0
5001-10000 kms,South Australia,Rideshare,Yes,Male,1966-02-26,2022,Toyota Corolla,Street,Name_692,59,1,Monthly,No,Market Value,84749,848.0
0-5000 kms,Victoria,Business,Yes,Male,2001-04-20,2004,Honda Civic,Driveway,Name_629,22,0,Monthly,No,Agreed Value,84836,1183.0
10001-15000 kms,New South Wales,Business,Yes,Male,1978-02-26,2021,Honda Civic,Street,Name_765,46,0,Annual,No,Market Value,38902,1607.0
10001-15000 kms,New South Wales,Rideshare,No,Male,1996-06-07,2006,Toyota Corolla,Street,Name_497,27,0,Monthly,Yes,Agreed Value,40906,1481.0
0-5000 kms,Victoria,Private,Yes,Male,1992-10-28,2019,Dodge Ram,Street,Name_807,29,5,Annual,Yes,Agreed Value,74243,676.0
> 20000 kms,South Australia,Private,Yes,Male,1955-09-12,2005,Ford Focus,Street,Name_952,69,3,Monthly,Yes,Agreed Value,40792,901.0
> 20000 kms,South Australia,Rideshare,Yes,Male,1967-11-21,2004,Ford Focus,Garage,Name_951,57,5,Annual,No,Agreed Value,43262,1356.0
10001-15000 kms,Western Australia,Rideshare,No,Female,1992-06-01,2019,Honda Civic,Garage,Name_527,34,2,Annual,Yes,Market Value,71789,1051.0
0-5000 kms,Queensland,Private,Yes,Female,1950-08-06,2013,Dodge Ram,Street,Name_522,75,3,Monthly,No,Market Value,99240,360.0
5001-10000 kms,South Australia,Private,No,Male,1960-07-14,2022,Toyota Corolla,Driveway,Name_38,65,0,Monthly,No,Agreed Value,66649,706.0
0-5000 kms,Victoria,Rideshare,No,Female,1940-10-18,2005,Toyota Corolla,Carport,Name_422,84,2,Monthly,No,Agreed Value,99497,497.0
10001-15000 kms,Queensland,Private,Yes,Female,1993-09-07,2017,Ford Focus,Garage,Name_606,30,0,Annual,Yes,Agreed Value,75712,847.0
0-5000 kms,New South Wales,Rideshare,No,Male,1985-08-09,2021,Toyota Corolla,Garage,Name_871,38,0,Annual,Yes,Market Value,30073,910.0
> 20000 kms,Western Australia,Business,No,Male,1969-09-08,2003,Honda Civic,Street,Name_149,55,1,Monthly,No,Market Value,72409,1582.0
15001-20000 kms,New South Wales,Private,No,Male,1985-11-07,2019,Honda Civic,Street,Name_744,39,5,Monthly,Yes,Market Value,22246,1326.0
10001-15000 kms,Western Australia,Business,Yes,Female,1972-06-09,2002,Honda Civic,Carport,Name_318,49,1,Annual,Yes,Market Value,17292,1141.0
5001-10000 kms,South Australia,Private,Yes,Female,1991-11-12,2006,Dodge Ram,Driveway,Name_433,31,0,Annual,No,Market Value,75065,850.0
15001-20000 kms,Western Australia,Business,Yes,Female,1986-01-10,2024,Dodge Ram,Driveway,Name_173,40,1,Monthly,No,Agreed Value,14031,1318.0
> 20000 kms,South Australia,Business,Yes,Female,1960-03-17,2016,Honda Civic,Carport,Name_145,66,1,Monthly,No,Market Value,91669,1521.0
10001-15000 kms,Queensland,Private,Yes,Female,1963-10-15,2022,Honda Civic,Driveway,Name_730,58,1,Annual,No,Agreed Value,74155,677.0
10001-15000 kms,Queensland,Business,Yes,Female,1989-06-09,2021,Toyota Corolla,Street,Name_353,33,2,Monthly,No,Agreed Value,27891,1093.0
10001-15000 kms,"ACT, Tasmania and NT*",Business,Yes,Female,1944-08-15,2016,Toyota Corolla,Carport,Name_566,81,4,Monthly,Yes,Agreed Value,76357,825.0
15001-20000 kms,Queensland,Rideshare,No,Male,1959-01-15,2008,Honda Civic,Carport,Name_112,63,2,Monthly,No,Market Value,46862,786.0
5001-10000 kms,New South Wales,Rideshare,Yes,Male,1952-12-12,2017,Dodge Ram,Carport,Name_522,71,5,Monthly,No,Agreed Value,66071,786.0
15001-20000 kms,New South Wales,Business,No,Female,1964-05-24,2001,Dodge Ram,Driveway,Name_825,60,0,Monthly,No,Market Value,26499,1548.0
> 20000 kms,Victoria,Private,Yes,Female,1970-06-09,2011,Dodge Ram,Carport,Name_687,51,0,Monthly,No,Market Value,42862,1209.0
10001-15000 kms,Victoria,Business,No,Female,1972-06-16,2003,Dodge Ram,Carport,Name_573,50,5,Monthly,No,Market Value,89385,1269.0
10001-15000 kms,New South Wales,Business,No,Male,1957-05-10,2025,Ford Focus,Garage,Name_117,65,2,Monthly,No,Market Value,32913,1100.0
> 20000 kms,Western Australia,Rideshare,No,Female,1956-07-26,2018,Toyota Corolla,Street,Name_192,68,1,Annual,No,Agreed Value,90457,892.0
15001-20000 kms,Queensland,Rideshare,No,Female,1956-03-27,2000,Honda Civic,Garage,Name_69,67,3,Monthly,Yes,Agreed Value,67018,755.0
> 20000 kms,Western Australia,Private,No,Female,1977-02-28,2001,Toyota Corolla,Garage,Name_839,48,5,Annual,No,Agreed Value,85523,1086.0
5001-10000 kms,Western Australia,Private,Yes,Female,1977-05-23,2013,Honda Civic,Carport,Name_46,48,1,Monthly,No,Market Value,34019,679.0
15001-20000 kms,South Australia,Rideshare,Yes,Female,1965-09-13,2009,Ford Focus,Street,Name_100,60,5,Monthly,No,Agreed Value,57770,1141.0
5001-10000 kms,Queensland,Business,Yes,Female,1967-06-10,2007,Dodge Ram,Driveway,Name_652,54,5,Annual,No,Agreed Value,42927,790.0
10001-15000 kms,Victoria,Business,Yes,Male,1994-08-10,2015,Honda Civic,Driveway,Name_586,28,1,Annual,No,Agreed Value,69626,1420.0
> 20000 kms,Victoria,Business,No,Female,1990-01-25,2007,Ford Focus,Carport,Name_610,31,4,Monthly,No,Market Value,41942,1820.0
